"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Diarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"TS","RN","","Deg C","Deg C","%","%","Deg C","Deg C","%","%","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Max","TMx","Max","TMx","Min","TMn","Min","TMn","Max","Max","Max","Max","Tot","Max","Max"
"2022-09-27 07:00:00",468,69739,32.47868,"2022-09-26 12:12:18",100,"2022-09-26 21:30:15",21.50492,"2022-09-27 05:20:27",53.0449,"2022-09-26 12:12:48",1.4,1.8,2,2,4.4,3.6,4
"2022-09-28 07:00:00",469,69739,30.57086,"2022-09-27 12:28:39",100,"2022-09-27 07:00:12",21.88038,"2022-09-28 00:29:36",65.1313,"2022-09-27 12:29:33",1.8,3.400001,3.6,4.2,5,5,5
"2022-09-29 07:00:00",470,69739,31.46983,"2022-09-28 12:08:39",100,"2022-09-28 22:29:54",21.43013,"2022-09-29 05:08:57",61.74912,"2022-09-28 11:55:30",2,2.4,2.8,3.2,3.200001,3.2,3.2
"2022-09-30 07:00:00",471,69739,30.94937,"2022-09-29 13:45:45",100,"2022-09-29 23:24:51",21.93838,"2022-09-30 05:39:15",62.92282,"2022-09-29 11:26:21",2.8,2.8,2.8,2.8,3.2,2.8,2.8
"2022-10-01 07:00:00",472,69739,30.3923,"2022-09-30 13:56:57",100,"2022-09-30 07:39:48",20.90358,"2022-10-01 03:30:21",63.44479,"2022-09-30 14:06:57",0.8,1.2,1.2,1.2,1.6,1.2,1.6
"2022-10-02 07:00:00",473,69739,28.26318,"2022-10-01 13:52:36",100,"2022-10-02 00:04:54",20.62428,"2022-10-02 03:03:30",64.72837,"2022-10-01 12:27:06",0.2,0.2,0.2,0.2,0.4,0.2,0.2
"2022-10-03 07:00:00",474,69739,28.39138,"2022-10-02 12:51:12",100,"2022-10-02 21:25:00",21.6026,"2022-10-03 05:09:27",72.29247,"2022-10-02 12:48:48",0,0,0,0,0,0,0
"2022-10-04 07:00:00",475,69739,31.34161,"2022-10-03 14:52:45",100,"2022-10-03 07:00:30",21.66365,"2022-10-04 04:00:12",54.36053,"2022-10-03 13:45:06",0,0,0,0,0,0,0
"2022-10-05 07:00:00",476,69739,30.27782,"2022-10-04 14:10:36",100,"2022-10-05 00:05:00",22.97165,"2022-10-05 04:03:51",63.08307,"2022-10-04 14:02:06",0.2,0.2,0.2,0.2,0.4,0.2,0.4
"2022-10-06 07:00:00",477,69739,29.08125,"2022-10-05 14:20:03",100,"2022-10-05 20:34:51",22.4161,"2022-10-06 01:20:00",73.46769,"2022-10-05 14:42:57",2.6,2.6,2.6,2.8,5,2.8,2.8
"2022-10-07 07:00:00",478,69739,27.55193,"2022-10-06 14:39:30",100,"2022-10-06 07:00:27",21.30803,"2022-10-07 05:34:03",78.28149,"2022-10-06 14:20:57",0.6,1,1.2,2,5.799999,3.600001,4.6
"2022-10-08 07:00:00",479,69739,26.25768,"2022-10-07 11:40:42",100,"2022-10-07 17:26:48",20.47775,"2022-10-08 05:57:27",82.97015,"2022-10-07 08:44:57",4.4,6.2,6.600001,8.799999,22.40001,10.8,11.8
"2022-10-09 07:00:00",480,69739,26.2241,"2022-10-08 14:06:15",100,"2022-10-08 07:00:09",21.16457,"2022-10-09 05:46:51",83.28607,"2022-10-08 13:47:30",6,9,12.4,18.4,63.60016,29.2,34.60001
"2022-10-10 07:00:00",481,69739,27.54278,"2022-10-09 11:42:18",100,"2022-10-09 18:55:00",20.98141,"2022-10-10 05:28:30",71.49273,"2022-10-09 12:34:45",0.4,0.6,0.6,1.2,2.8,2.4,6.8
"2022-10-11 07:00:00",482,69739,31.14169,"2022-10-10 11:58:21",100,"2022-10-10 07:00:06",21.61481,"2022-10-11 02:50:45",64.71616,"2022-10-10 11:49:12",4.6,7.2,7.8,9,9.599997,9.000001,9.000001
"2022-10-12 07:00:00",483,69739,31.44388,"2022-10-11 11:08:06",100,"2022-10-11 07:00:12",21.70181,"2022-10-12 01:13:33",59.20791,"2022-10-11 11:08:18",0,0,0,0,0,0,0
"2022-10-13 07:00:00",484,69739,28.47074,"2022-10-12 15:28:12",100,"2022-10-12 07:00:12",21.36756,"2022-10-13 03:21:36",73.27996,"2022-10-12 14:50:48",0.6,0.6,0.8,1,2.4,1.2,1.2
"2022-10-14 07:00:00",485,69739,29.96494,"2022-10-13 13:08:33",100,"2022-10-13 07:01:00",21.86665,"2022-10-14 05:52:30",65.15572,"2022-10-13 13:03:06",0,0,0,0,0,0,0
